cost:RealisticUsageScenario;response time:RealisticUsageScenario;POFOD:RealisticUsageScenario;lower bound confidence(response time:RealisticUsageScenario);upper bound confidence(response time:RealisticUsageScenario);alpha(response time:RealisticUsageScenario);ContinuousProcessingRateDegreeImpl:Server1:CPU;ContinuousProcessingRateDegreeImpl:Server1:HDD;ContinuousProcessingRateDegreeImpl:Server2:CPU;ContinuousProcessingRateDegreeImpl:Server2:HDD;AllocationDegreeImpl:Allocation_Assembly_FileStorage <FileStorage> <FileStorage>;AllocationDegreeImpl:Allocation_Assembly_Packaging <Packaging> <Packaging>;AllocationDegreeImpl:Allocation_Assembly_MediaAccess <MediaAccess> <MediaAccess>;AllocationDegreeImpl:Allocation_Assembly_MediaManagement <MediaManagement> <MediaManagement>;ConcernDegreeImpl:ConcernModel.impl.ConcernImpl@6c9b5272 (name: IDS, description: null);AllocationDegreeImpl:ConcernModel.impl.ElementaryConcernComponentImpl@1b777f4a (name: Detection, description: null);AllocationDegreeImpl:ConcernModel.impl.ElementaryConcernComponentImpl@383deadc (name: Analysis, description: null);AllocationDegreeImpl:ConcernModel.impl.ElementaryConcernComponentImpl@18105fbe (name: Response, description: null);Util of Server1 CPU;Util of Server1 HDD;Util of Server2 CPU;Util of Server2 HDD;Util of Network LAN;Candidate ID;
35800.0;2.0557012874319933;6.44494319278488E-5;0.0;Infinity;0.95;1.0E9;5.0E7;1.0E9;6.0E8;Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);AppSensor (ID: _VYStANVwEeWS-LePWVyd9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);0.024546427256982417;NaN;0.020988331897949797;0.022898116710746486;0.013408134261835625;0;
75080.74154210949;13.764431149144986;4.224562490628969E-5;0.0;Infinity;0.95;2.1949219946668906E9;8.7610646249748E8;2.6504607748070755E9;4.6526084700238E10;Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);ossec_extended (ID: _KsE3sK_GEeaFof9L2wGlaQ);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);0.02074331262916329;0.016196341545941073;7.017339868409245E-6;NaN;0.3364073115424032;1;
202418.49084956653;4.963351008403049;3.3995897085636884E-5;0.0;Infinity;0.95;9.735806050708168E9;4.718318616978942E8;3.372093339262933E9;5.694955455225482E10;Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);AppSensor (ID: _VYStANVwEeWS-LePWVyd9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);NaN;NaN;0.012674031241678096;2.2885346775403104E-4;0.15909220589479267;2;
270785.74560034426;10.373994618818967;2.988994286301505E-5;0.0;Infinity;0.95;9.679706965819035E9;3.5840870658676946E8;7.9860094075372505E9;2.302252137433448E10;Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);AppSensor (ID: _VYStANVwEeWS-LePWVyd9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);0.0022330242648346266;0.041070722771311075;0.003217111950521767;NaN;0.29081028899533123;4;
21899.790338902498;9.15898801003704;1.5454998691233346E-4;0.0;Infinity;0.95;1.7794724881778553E8;3.6429442179913883E9;8.953721071090477E8;1.711006384260246E10;Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);AppSensor (ID: _VYStANVwEeWS-LePWVyd9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);0.12231486460346619;0.004089258705371468;0.02900203233575438;NaN;0.1624339925842373;5;
162114.90936927582;36.66592464338196;3.3718546915362246E-5;0.0;Infinity;0.95;4.508715555738479E9;4.310727883150727E9;6.138945068879909E9;4.2845442062425255E10;Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);ossec_extended (ID: _KsE3sK_GEeaFof9L2wGlaQ);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);4.76387620496066E-6;NaN;0.007586247522278655;3.278193099580662E-4;0.6267342323141136;6;
161929.41352713873;0.6690759739329027;3.545183020536857E-5;0.0;Infinity;0.95;7.486520179556581E9;4.711091956716473E9;2.9221073889193344E9;1.275982507326308E10;Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);AppSensor (ID: _VYStANVwEeWS-LePWVyd9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);0.002659925745751579;0.0027964758418604907;0.008061538067033358;NaN;0.011894515754702017;7;
34659.386848702576;6.059261343414993;6.27649541211639E-5;0.0;Infinity;0.95;1.2518745817824614E9;2.414909079619786E9;8.987512081310436E8;3.7908044400804184E10;Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);ossec_extended (ID: _KsE3sK_GEeaFof9L2wGlaQ);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);0.03634881349700814;0.0056860087890515665;NaN;NaN;0.16908199915913447;8;
46573.04975567651;2.049016298302012;5.300650858008904E-5;0.0;Infinity;0.95;2.0815461872241266E9;8.209258059467115E7;8.63323796487641E8;1.3956263706616968E10;Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);ossec_extended (ID: _KsE3sK_GEeaFof9L2wGlaQ);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);NaN;NaN;0.052067972033385757;9.861608092813778E-4;0.02659842825633918;16;
251345.80509614927;4.786633554680996;3.0990245649120673E-5;0.0;Infinity;0.95;8.02257339972865E9;2.598372335724045E9;8.5738136066813E9;8.1658849310254755E9;Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);ossec_extended (ID: _KsE3sK_GEeaFof9L2wGlaQ);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);0.0027661503050285807;NaN;0.0022109192653885223;0.0015177246481250517;0.15988793285329372;17;
